,node_sending,node_receiving,interface,time_queued,time_dequeued,time_received,bytes,id,total_package_time,total_time
71,1,5,10,0.0,4434.77,4696.27,1052,71,261.5,261.5
72,1,5,10,0.0,4496.36,4757.87,1052,72,261.5100000000002,261.5100000000002
73,1,5,10,0.0,4557.95,4819.46,1052,73,261.5100000000002,261.5100000000002
74,1,5,10,0.0,4619.55,4881.06,1052,74,261.5100000000002,261.5100000000002
75,1,5,10,0.0,4681.14,4942.65,1052,75,261.5099999999993,261.5099999999993
76,1,5,10,0.0,4742.74,5004.24,1052,76,261.5,261.5
77,1,5,10,0.0,4804.33,5065.84,1052,77,261.5100000000002,261.5100000000002
78,1,5,10,0.0,4865.92,5127.43,1052,78,261.5100000000002,261.5100000000002
79,1,5,10,0.0,4927.52,5189.03,1052,79,261.5099999999993,261.5099999999993
80,1,5,10,0.0,4989.11,5250.62,1052,80,261.5100000000002,261.5100000000002
81,1,5,10,0.0,5050.71,5312.21,1052,81,261.5,261.5
82,1,5,10,0.0,5112.3,5373.81,1052,82,261.5100000000002,261.5100000000002
83,1,5,10,0.0,5173.89,5435.4,1052,83,261.5099999999993,261.5099999999993
84,1,5,10,0.0,5235.49,5497.0,1052,84,261.5100000000002,261.5100000000002
85,1,5,10,0.0,5297.08,5558.59,1052,85,261.5100000000002,261.5100000000002
86,1,5,10,0.0,5358.68,5620.18,1052,86,261.5,261.5
87,1,5,10,0.0,5420.27,5681.78,1052,87,261.5099999999993,261.5099999999993
88,1,5,10,0.0,5481.86,5743.37,1052,88,261.5100000000002,261.5100000000002
89,1,5,10,0.0,5543.46,5804.97,1052,89,261.5100000000002,261.5100000000002
90,1,5,10,0.0,5605.05,5866.56,1052,90,261.5100000000002,261.5100000000002
91,1,5,10,0.0,5666.65,5928.15,1052,91,261.5,261.5
92,1,5,10,0.0,5728.24,5989.75,1052,92,261.5100000000002,261.5100000000002
93,1,5,10,0.0,5789.83,6051.34,1052,93,261.5100000000002,261.5100000000002
94,1,5,10,0.0,5851.43,6112.94,1052,94,261.5099999999993,261.5099999999993
95,1,5,10,0.0,5913.02,6174.53,1052,95,261.5099999999993,261.5099999999993
96,1,5,10,0.0,5974.62,6236.12,1052,96,261.5,261.5
97,1,5,10,0.0,6036.21,6297.72,1052,97,261.5100000000002,261.5100000000002
98,1,5,10,0.0,6097.8,6359.31,1052,98,261.5100000000002,261.5100000000002
99,1,5,10,0.0,6159.4,6420.9,1052,99,261.5,261.5
100,1,5,10,0.0,6220.99,6482.5,1052,100,261.5100000000002,261.5100000000002
101,1,5,10,0.0,6282.59,6544.09,1052,101,261.5,261.5
102,1,5,10,0.0,6344.18,6605.69,1052,102,261.5099999999993,261.5099999999993
103,1,5,10,0.0,6405.77,6667.28,1052,103,261.5099999999993,261.5099999999993
104,1,5,10,0.0,6467.37,6728.87,1052,104,261.5,261.5
105,1,5,10,0.0,6528.96,6790.47,1052,105,261.5100000000002,261.5100000000002
106,1,5,10,0.0,6590.56,6852.06,1052,106,261.5,261.5
107,1,5,10,0.0,6652.15,6913.66,1052,107,261.5100000000002,261.5100000000002
108,1,5,10,0.0,6713.74,6975.25,1052,108,261.5100000000002,261.5100000000002
